Agency,Portfolio,Glossary Type,Num Terms,Methods,Glossary URLs
ASC Pty Ltd,Finance,one,100,paragraph,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary
Administrative Appeals Tribunal,Attorney-General's,one,60,table,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary
Aged Care Quality and Safety Commission,Health,one,31,paragraph,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-
Airservices Australia,"Infrastructure, Transport, Cities and Regional Development",one,102,table,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms
Anindilyakwa Land Council,Prime Minister and Cabinet,one,18,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms
Army and Air Force Canteen Service,Defence,one,26,table,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-
Asbestos and Silica Safety and Eradication Agency,Employment and Workplace Relations,one,40,table,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms
Attorney-General's Department,Attorney-General's,one,31,paragraph,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms
Australian Broadcasting Corporation,Communications and the Arts,one,14,paragraph,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list
Australian Bureau of Statistics,Treasury,both,94,table,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/glossary | https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/abbreviations-and-acronyms
Australian Centre for International Agricultural Research (ACIAR),Foreign Affairs and Trade,one,30,paragraph,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24/part-6-reference-material/abbreviations-and-acronyms
Australian Communications and Media Authority (ACMA),Communications and the Arts,one,44,table,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24/glossary
Australian Competition and Consumer Commission (ACCC),Treasury,one,107,paragraph,https://www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24/part-6---appendixes/glossary-and-abbreviations
Australian Criminal Intelligence Commission,Attorney-General's,both,31,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/glossary | https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/list-of-abbreviations
Australian Electoral Commission,Finance,both,128,table,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/glossary | https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/abbreviations-and-acronyms
Australian Federal Police,Attorney-General's,one,67,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24/reference-material/abbreviations-and-acronyms
Australian Financial Security Authority,Attorney-General's,one,55,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24/abbreviations-and-acronyms
Australian Fisheries Management Authority,Agriculture,both,142,"paragraph,table",https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/glossary | https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/abbreviations-and-acronyms
Australian Hearing Services (Hearing Australia),Services Australia,one,22,table,https://www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24/glossary
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,one,64,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024/part-7.-aids-to-access/abbreviations-and-acronyms
Australian Institute of Criminology,Attorney-General's,one,11,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24/about-this-report/acronyms
Australian Institute of Family Studies (AIFS),Social Services,one,54,table,https://www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24/appendices/appendix-d%3A-acronyms-and-abbreviations
Australian Institute of Health and Welfare,Health,one,54,table,https://www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24/user-guide---acronyms-and-abbreviations
Australian Institute of Marine Science,"Climate Change, Energy, the Environment and Water",one,55,table,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24/chapter-6%3A-appendices-and-indexes/index%3A-acronyms
Australian Law Reform Commission,Attorney-General's,one,25,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-law-reform-commission/australian-law-reform-commission-annual-report-2023-24/glossary
Australian National Audit Office,Prime Minister and Cabinet,one,34,paragraph,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24/abbreviations-and-acronyms
Australian Nuclear Science and Technology Organisation,"Industry, Innovation and Science",one,50,table,https://www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24/appendices-and-index/glossary
Australian Office of Financial Management (AOFM),Treasury,one,64,table,https://www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24/part-5%3A-aids-to-access/glossary-of-abbreviations
Australian Pesticides and Veterinary Medicines Authority (APVMA),Agriculture,both,0,-,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements | https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements
Australian Prudential Regulation Authority (APRA),Treasury,one,15,table,https://www.transparency.gov.au/publications/treasury/australian-prudential-regulation-authority/australian-prudential-regulation-authority-annual-report-2023-24/glossary
Australian Public Service Commission,Prime Minister and Cabinet,one,37,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24/appendices/appendix-b%3A-glossary-of-abbreviations-and-acronyms
Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Health,both,98,table,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/glossary | https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/abbreviations
Australian Reinsurance Pool Corporation,Treasury,both,46,table,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/glossary | https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/acronyms-and-abbreviations
Australian Renewable Energy Agency,"Climate Change, Energy, the Environment and Water",one,0,-,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary
Australian Research Council,Education,both,122,"paragraph,table",https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary | https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/abbreviations-and-acronyms
Australian Securities and Investments Commission (ASIC),Treasury,one,21,table,https://www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24/glossary
Australian Security Intelligence Organisation,Home Affairs,both,1,list,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary | https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms
Australian Signals Directorate,Defence,one,81,table,https://www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24/glossary-of-abbreviations-and-acronyms
Australian Skills Quality Authority (National Vocational Education and Training Regulator),"Education, Skills and Employment",both,77,table,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/glossary | https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/acronyms-and-abbreviations
Australian Strategic Policy Institute Ltd,Defence,one,28,table,https://www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24/annexes/annex-l%3A-acronyms-and-abbreviations
Australian Submarine Agency,Defence,one,0,-,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms
Australian Taxation Office,Treasury,both,118,table,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/glossary | https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/abbreviations
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,one,51,table,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24/abbreviations-and-acronyms
Australian Transaction Reports and Analysis Centre (AUSTRAC),Attorney-General's,one,34,table,https://www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24/glossary
Australian Transport Safety Bureau (ATSB),"Infrastructure, Transport, Cities and Regional Development",one,70,table,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24/appendices/appendix-v%3A-glossary
Bureau of Meteorology,"Agriculture, Water and the Environment",one,149,table,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24/section-6---appendices/glossary
Cancer Australia,Health,both,68,table,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/glossary | https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/abbreviations
Central Land Council,Prime Minister and Cabinet,one,77,table,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/central-land-council/central-land-council-annual-report-2023-24/glossary
Civil Aviation Safety Authority,"Infrastructure, Transport, Cities and Regional Development",one,39,table,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/civil-aviation-safety-authority/civil-aviation-safety-authority-annual-report-2023-24/abbreviations-list
Clean Energy Finance Corporation,"Climate Change, Energy, the Environment and Water",both,106,table,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/glossary | https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/abbreviations
Climate Change Authority,"Climate Change, Energy, the Environment and Water",both,32,table,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/glossary | https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/abbreviations
Coal Mining Industry (Long Service Leave Funding) Corporation,Attorney-General's,one,0,-,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms
Commonwealth Grants Commission,Treasury,one,24,table,https://www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24/reference-material/glossary-of-acronyms-and-initialisms
Commonwealth Scientific and Industrial Research Organisation,"Industry, Innovation and Science",both,127,"paragraph,table",https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/glossary | https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/acronyms
Commonwealth Superannuation Corporation (CSC),Finance,one,47,paragraph,https://www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24/10.-glossary
Cotton Research and Development Corporation,Agriculture,one,68,table,https://www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24/section-6%3A-appendices/appendix-7%3A-abbreviations-list
Defence Housing Australia,Defence,one,85,table,https://www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24/part-6---appendices-and-reference-information/appendix-i---acronyms-and-abbreviations
"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",one,122,table,https://www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24/part-6%3A-aids-to-access/glossary
"Department of Climate Change, Energy, the Environment and Water","Climate Change, Energy, the Environment and Water",one,187,table,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24/part-7-%E2%80%93-aids-to-access/abbreviations-and-acronyms
Department of Defence,Defence,one,44,table,https://www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24/abbreviations-and-acronyms
Department of Education [i],Education [i],one,86,table,https://www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report/indexes/abbreviations-and-acronyms
Department of Employment and Workplace Relations,Employment and Workplace Relations,one,82,table,https://www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24/chapter-6---indexes/abbreviations-and-acronyms
Department of Finance,Finance,one,73,table,https://www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24/abbreviations-and-acronyms
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,one,65,paragraph,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms
Department of Health and Aged Care,Health and Aged Care,both,139,table,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Department of Home Affairs,Home Affairs,both,178,table,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary | https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms
"Department of Industry, Science and Resources","Industry, Science and Resources",one,87,table,https://www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development, Communications and the Arts",both,105,table,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary | https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
