Portfolio,Entity,Title,BodyType,URL,glossary_type,glossary_url1,glossary_url2
Defence,AAF Company,AAF Company Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/defence/aaf-company/aaf-company-annual-report-2023-24,none,,
Finance,ASC Pty Ltd,Annual Report 2024,Commonwealth Company,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024,one,https://www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024/glossary,
Prime Minister and Cabinet,Aboriginal Hostels Limited,Aboriginal Hostels Limited Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/aboriginal-hostels-limited/aboriginal-hostels-limited-annual-report-2023-24,none,,
Attorney-General's,Administrative Appeals Tribunal,Administrative Appeals Tribunal Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24/glossary,
Health,Aged Care Quality and Safety Commission,Aged Care Quality and Safety Commission Annual Report 2023-2024,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024/glossary-,
"Infrastructure, Transport, Cities and Regional Development",Airservices Australia,Airservices Australia Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24/appendices/appendix-d%3A-acronyms,
Prime Minister and Cabinet,Anindilyakwa Land Council,Anindilyakwa Land Council Annual Report 2023-24 ,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24/part-1%3A-introduction-to-this-report/1.02-acronyms,
Defence,Army and Air Force Canteen Service,AAFCANS - Army & Air Force Canteen Service,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service,one,https://www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service/appendix-4%3A-terms-and-abbreviations-,
Employment and Workplace Relations,Asbestos and Silica Safety and Eradication Agency,Asbestos and Silica Safety and Eradication Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24/section-6---reference-and-index/6.1-glossary-of-abbreviations-and-acronyms,
Attorney-General's,Attorney-General's Department,Attorney-General's Department Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,
Communications and the Arts,Australian Broadcasting Corporation,Australian Broadcasting Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24/abbreviations-list,
Treasury,Australian Bureau of Statistics,Australian Bureau of Statistics Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24,both,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/glossary,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/abbreviations-and-acronyms
Foreign Affairs and Trade,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24,one,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24/part-6-reference-material/abbreviations-and-acronyms,
Health,Australian Commission on Safety and Quality in Health Care,Australian Commission on Safety and Quality in Health Care Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/australian-commission-on-safety-and-quality-in-health-care/australian-commission-on-safety-and-quality-in-health-care-annual-report-2023-24,none,,
Communications and the Arts,Australian Communications and Media Authority (ACMA),Australian Communications and Media Authority and eSafety Commissioner annual report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24/glossary,
Treasury,Australian Competition and Consumer Commission (ACCC),ACCC and AER Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24/part-6---appendixes/glossary-and-abbreviations,
Attorney-General's,Australian Criminal Intelligence Commission,Australian Criminal Intelligence Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24,both,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/glossary,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/list-of-abbreviations
Education,"Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment and Reporting Authority (ACARA) Annual Report 2023–24",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/education/australian-curriculum-assessment-and-reporting-authority/australian-curriculum-assessment-and-reporting-authority-acara-annual-report-2023-24,none,,
Health,Australian Digital Health Agency,Australian Digital Health Agency Annual Report 2023–2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/australian-digital-health-agency/australian-digital-health-agency-annual-report-2023-2024,none,,
Finance,Australian Electoral Commission,Australian Electoral Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24,both,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/glossary,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/abbreviations-and-acronyms
Attorney-General's,Australian Federal Police,Australian Federal Police Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24/reference-material/abbreviations-and-acronyms,
Communications and the Arts,"Australian Film, Television and Radio School","Australian Film, Television and Radio School Annual Report 2023–24",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-film-television-and-radio-school/australian-film-television-and-radio-school-annual-report-2023-24,none,,
Attorney-General's,Australian Financial Security Authority,Australian Financial Security Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24/abbreviations-and-acronyms,
Agriculture,Australian Fisheries Management Authority,Australian Fisheries Management Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/glossary,https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/abbreviations-and-acronyms
Services Australia,Australian Hearing Services (Hearing Australia),Australian Hearing Services (Hearing Australia) Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24/glossary,
Attorney-General's,Australian Human Rights Commission,Australian Human Rights Commission Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-human-rights-commission/australian-human-rights-commission-annual-report-2023-2024,none,,
Education,Australian Institute for Teaching and School Leadership Limited,Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/education/australian-institute-for-teaching-and-school-leadership-limited/annual-report-2023-24,none,,
Prime Minister and Cabinet,Australian Institute of Aboriginal and Torres Strait Islander Studies,Australian Institute of Aboriginal and Torres Strait Islander Studies Annual Report 2023–2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024/part-7.-aids-to-access/abbreviations-and-acronyms,
Attorney-General's,Australian Institute of Criminology,Annual report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24/about-this-report/acronyms,
Social Services,Australian Institute of Family Studies (AIFS),Australian Institute of Family Studies Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24,one,https://www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24/appendices/appendix-d%3A-acronyms-and-abbreviations,
Health,Australian Institute of Health and Welfare,Australian Institute of Health and Welfare Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24,one,https://www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24/user-guide---acronyms-and-abbreviations,
"Climate Change, Energy, the Environment and Water",Australian Institute of Marine Science,Australian Institute of Marine Science Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24,one,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24/chapter-6%3A-appendices-and-indexes/index%3A-acronyms,
Attorney-General's,Australian Law Reform Commission,Australian Law Reform Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-law-reform-commission/australian-law-reform-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/australian-law-reform-commission/australian-law-reform-commission-annual-report-2023-24/glossary,
"Infrastructure, Transport, Cities and Regional Development",Australian Maritime Safety Authority,Australian Maritime Safety Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-maritime-safety-authority/australian-maritime-safety-authority-annual-report-2023-24,none,,
Defence,Australian Military Forces Relief Trust Fund,Australian Military Forces Relief Trust Fund Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/australian-military-forces-relief-trust-fund/australian-military-forces-relief-trust-fund-annual-report-2023-24,none,,
Prime Minister and Cabinet,Australian National Audit Office,Australian National Audit Office Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24/abbreviations-and-acronyms,
Communications and the Arts,Australian National Maritime Museum,Australian National Maritime Museum Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-national-maritime-museum/australian-national-maritime-museum-annual-report-2023-24,none,,
Finance,Australian Naval Infrastructure Pty Ltd,Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/finance/australian-naval-infrastructure-pty-ltd/annual-report-2023-24,none,,
"Industry, Innovation and Science",Australian Nuclear Science and Technology Organisation,Australian Nuclear Science and Technology Organisation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24/appendices-and-index/glossary,
Treasury,Australian Office of Financial Management (AOFM),Australian Office of Financial Management Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24/part-5%3A-aids-to-access/glossary-of-abbreviations,
Agriculture,Australian Pesticides and Veterinary Medicines Authority (APVMA),Australian Pesticides and Veterinary Medicines Authority Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements
Communications and the Arts,Australian Postal Corporation,Australian Postal Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-postal-corporation/australian-postal-corporation-annual-report-2023-24,none,,
Treasury,Australian Prudential Regulation Authority (APRA),Australian Prudential Regulation Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-prudential-regulation-authority/australian-prudential-regulation-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/australian-prudential-regulation-authority/australian-prudential-regulation-authority-annual-report-2023-24/glossary,
Prime Minister and Cabinet,Australian Public Service Commission,Australian Public Service Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24/appendices/appendix-b%3A-glossary-of-abbreviations-and-acronyms,
Health,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Australian Radiation Protection and Nuclear Safety Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/glossary,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/abbreviations
"Infrastructure, Transport, Cities and Regional Development",Australian Rail Track Corporation Limited,Australian Rail Track Corporation Limited Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-rail-track-corporation-limited/australian-rail-track-corporation-limited-annual-report-2023-24,none,,
Treasury,Australian Reinsurance Pool Corporation,Australian Reinsurance Pool Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24,both,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/glossary,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/acronyms-and-abbreviations
"Climate Change, Energy, the Environment and Water",Australian Renewable Energy Agency,AUSTRALIAN RENEWABLE ENERGY AGENCY ANNUAL REPORT 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary,
Education,Australian Research Council,Australian Research Council Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24,both,https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary,https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/abbreviations-and-acronyms
Treasury,Australian Securities and Investments Commission (ASIC),ANNUAL REPORT 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24/glossary,
Home Affairs,Australian Security Intelligence Organisation,ASIO Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24,both,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms
Defence,Australian Signals Directorate,Australian Signals Directorate Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24,one,https://www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,
"Education, Skills and Employment",Australian Skills Quality Authority (National Vocational Education and Training Regulator),Australian Skills Quality Authority (National Vocational Education and Training Regulator) Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24,both,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/glossary,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/acronyms-and-abbreviations
Health,Australian Sports Commission (Australian Institute of Sport),Australian Sports Commission Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/australian-sports-commission-australian-institute-of-sport/australian-sports-commission-annual-report-2023-24,none,,
Health,Australian Sports Foundation Limited,"Australian Sports Foundation Limited
Annual Report 2023-24",Commonwealth Company,https://www.transparency.gov.au/publications/health/australian-sports-foundation-limited/australian-sports-foundation-limited-annual-report-2023-24,none,,
Defence,Australian Strategic Policy Institute Ltd,Australian Strategic Policy Institute Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24,one,https://www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24/annexes/annex-l%3A-acronyms-and-abbreviations,
Defence,Australian Submarine Agency,Australian Submarine Agency Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms,
Treasury,Australian Taxation Office,Australian Taxation Office annual report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24,both,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/glossary,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/abbreviations
Foreign Affairs and Trade,Australian Trade and Investment Commission (Austrade),Australian Trade and Investment Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24/abbreviations-and-acronyms,
Attorney-General's,Australian Transaction Reports and Analysis Centre (AUSTRAC),Australian Transaction Reports and Analysis Centre Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24/glossary,
"Infrastructure, Transport, Cities and Regional Development",Australian Transport Safety Bureau (ATSB),Australian Transport Safety Bureau (ATSB) Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24/appendices/appendix-v%3A-glossary,
Veterans' Affairs,Australian War Memorial,Australian War Memorial Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/veterans-affairs/australian-war-memorial/australian-war-memorial-annual-report-2023-24,none,,
Communications and the Arts,Bundanon Trust,Bundanon Annual Report 2023–2024 ,Commonwealth Company,https://www.transparency.gov.au/publications/communications-and-the-arts/bundanon-trust/bundanon-annual-report-2023-2024,none,,
