Portfolio,Entity,Title,BodyType,URL,glossary_type,glossary_url1,glossary_url2
"Agriculture, Water and the Environment",Bureau of Meteorology,Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24/section-6---appendices/glossary,
Health,Cancer Australia,Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/glossary,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/abbreviations
Prime Minister and Cabinet,Central Land Council,Central Land Council Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/central-land-council/central-land-council-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/central-land-council/central-land-council-annual-report-2023-24/glossary,
"Infrastructure, Transport, Cities and Regional Development",Civil Aviation Safety Authority,Civil Aviation Safety Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/civil-aviation-safety-authority/civil-aviation-safety-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/civil-aviation-safety-authority/civil-aviation-safety-authority-annual-report-2023-24/abbreviations-list,
"Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation,Clean Energy Finance Corporation Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24,both,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/glossary,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/abbreviations
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Clean Energy Regulator Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-regulator/clean-energy-regulator-annual-report-2023-24,none,,
"Climate Change, Energy, the Environment and Water",Climate Change Authority,Climate Change Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/glossary,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/abbreviations
Attorney-General's,Coal Mining Industry (Long Service Leave Funding) Corporation,Coal Mining Industry (Long Service Leave Funding) Corporation Annual Report 2023–24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms,
Attorney-General's,Comcare,"Comcare and Safety, Rehabilitation and Compensation Commission Annual Report 2023-24",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/comcare/comcare-and-safety-rehabilitation-and-compensation-commission-annual-report-2023-24,none,,
Treasury,Commonwealth Grants Commission,Commonwealth Grants Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24/reference-material/glossary-of-acronyms-and-initialisms,
"Industry, Innovation and Science",Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24,both,https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/glossary,https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/acronyms
Finance,Commonwealth Superannuation Corporation (CSC),Commonwealth Superannuation Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24/10.-glossary,
Agriculture,Cotton Research and Development Corporation,Cotton Research and Development Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24/section-6%3A-appendices/appendix-7%3A-abbreviations-list,
"Infrastructure, Transport, Regional Development, Communications and the Arts",Creative Australia,Creative Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/creative-australia/creative-australia-annual-report-2023-24,none,,
Defence,Defence Housing Australia,Defence Housing Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24/part-6---appendices-and-reference-information/appendix-i---acronyms-and-abbreviations,
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry Annual report 2023–24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24/part-6%3A-aids-to-access/glossary,
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water Annual Report 2023–24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24,one,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24/part-7-%E2%80%93-aids-to-access/abbreviations-and-acronyms,
Defence,Department of Defence,Department of Defence Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24,one,https://www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24/abbreviations-and-acronyms,
Education [i],Department of Education [i],Department of Education 2023-24 Annual Report,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report,one,https://www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report/indexes/abbreviations-and-acronyms,
Employment and Workplace Relations,Department of Employment and Workplace Relations,Department of Employment and Workplace Relations Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24,one,https://www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24/chapter-6---indexes/abbreviations-and-acronyms,
Finance,Department of Finance,Department of Finance Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24/abbreviations-and-acronyms,
Foreign Affairs and Trade,Department of Foreign Affairs and Trade,Department of Foreign Affairs and Trade Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24,one,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms,
Health and Aged Care,Department of Health and Aged Care,Department of Health and Aged Care Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Home Affairs,Department of Home Affairs,DEPARTMENT OF HOME AFFAIRS | 2023–24 ANNUAL REPORT,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report,both,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms
"Industry, Science and Resources","Department of Industry, Science and Resources","Department of Industry, Science and Resources Annual Report 2023–24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24,one,https://www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms,
"Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts Annual Report 2023-24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24,both,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
Parliamentary Departments (not a portfolio),Department of Parliamentary Services,Department of Parliamentary Services Annual Report 2023 - 2024,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024,both,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/glossary,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/acronyms-and-abbreviations
Social Services,Department of Social Services,Department of Social Services 2023-24 Annual Report,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report,one,https://www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report/part-6---appendices-and-index/appendix-g-glossary-of-abbreviations-and-acronyms,
Veterans' Affairs,Department of Veterans' Affairs,DVA Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24,one,https://www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24/08-aids-to-access/acronyms-and-abbreviations,
Parliamentary Departments (not a portfolio),Department of the House of Representatives,Department of the House of Representatives Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24,one,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24/abbreviations-and-acronyms,
Prime Minister and Cabinet,Department of the Prime Minister and Cabinet,Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/department-of-the-prime-minister-and-cabinet/annual-report-2023-24,none,,
Parliamentary Departments (not a portfolio),Department of the Senate,Department of the Senate Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24,one,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24/references/glossary-and-abbreviations-list,
Treasury,Department of the Treasury,Treasury Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24,both,https://www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/glossary,https://www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/abbreviations-and-acronyms
Finance,Digital Transformation Agency,Digital Transformation Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24/appendices/appendix-d%3A-glossary-and-abbreviations,
"Agriculture, Water and the Environment",Director of National Parks,Director of National Parks Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/director-of-national-parks/director-of-national-parks-annual-report-2023-24,none,,
Social Services,"Domestic, Family and Sexual Violence Commission","Domestic, Family and Sexual Violence Commission Annual Report 2023-24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24/appendix-a%3A-other-mandatory-information/appendix-b%3A-glossary-of-abbreviations-and-acronyms,
Foreign Affairs and Trade,"Export Finance and Insurance Corporation (EFIC, Export Finance Australia)",Export Finance Australia Annual Report 2023-2024 ,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024/appendices/appendix-f%3A-abbreviations-and-acronyms,
Attorney-General's,Fair Work Commission,Fair Work Commission - Annual Report 2023-24 - Access to Justice ,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice,both,https://www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/glossary,https://www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/acronyms-and-abbreviations
Attorney-General's,Federal Court of Australia,Federal Court of Australia Listed Entity Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24,both,https://www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/glossary,https://www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/acronyms-and-abbreviations
Agriculture,Fisheries Research and Development Corporation,Fisheries Research and Development Corporation 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24,one,https://www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24/appendices/abbreviations-and-acronyms,
Health,Food Standards Australia New Zealand,Food Standards Australia New Zealand Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/food-standards-australia-new-zealand/food-standards-australia-new-zealand-annual-report-2023-24,none,,
Finance,Future Fund Management Agency,Future Fund Management Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms,
"Industry, Innovation and Science",Geoscience Australia,Geoscience Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24/05-appendices/glossary-of-abbreviations-and-acronyms,
Agriculture,Grains Research and Development Corporation,Grains Research and Development Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24/7.-references/abbreviations-lndex,
"Agriculture, Water and the Environment",Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24/6.-appendices/acronyms-and-abbreviations,
"Infrastructure, Transport, Regional Development, Communications and the Arts",High Speed Rail Authority,High Speed Rail Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/high-speed-rail-authority/high-speed-rail-authority-annual-report-2023-24,none,,
Treasury,Housing Australia,Housing Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24/appendix-f%3A-abbreviations-and-acronyms,
"Industry, Innovation and Science",IP Australia,IP Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24/part-6%3A-requirements/acronym%2Fabbreviation,
Health and Aged Care,Independent Health and Aged Care Pricing Authority,Independent Health and Aged Care Pricing Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary,https://www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations
Finance,Independent Parliamentary Expenses Authority,Independent Parliamentary Expenses Authority – Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24/chapter-5.-other-mandatory-information/glossary-,
Prime Minister and Cabinet,Indigenous Business Australia,Indigenous Business Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-business-australia/indigenous-business-australia-annual-report-2023-24,none,,
Prime Minister and Cabinet,Indigenous Land and Sea Corporation,Indigenous Land and Sea Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24/part-seven%3A-guide-to-access/acronyms%2C-abbreviations-and-terminology,
"Infrastructure, Transport, Cities and Regional Development",Infrastructure Australia,"2023-24 
Annual Report",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/infrastructure-australia/2023-24-annual-report,none,,
Treasury,Inspector-General of Taxation,Inspector-General of Taxation Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24/part-7-%E2%80%93-reference-materials/glossary,
Agriculture,Murray-Darling Basin Authority,Murray-Darling Basin Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/glossary,https://www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/abbreviations
Communications and the Arts,NBN Co Limited,NBN 2024 Annual Report,Commonwealth Company,https://www.transparency.gov.au/publications/communications-and-the-arts/nbn-co-limited/nbn-2024-annual-report,none,,
Social Services,NDIS Quality and Safeguards Commission,NDIS Quality and Safeguards Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24,both,https://www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/3.-glossary,https://www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/4.-abbreviations-and-acronyms
Attorney-General's,National Anti-Corruption Commission,National Anti-Corruption Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24,both,https://www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/glossary-of-data-terms,https://www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/acronyms-and-abbreviations
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Archives of Australia,National Archives of Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24,both,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/abbreviations-and-acronyms
