Portfolio,Entity,Title,BodyType,URL,glossary_type,glossary_url1,glossary_url2
Prime Minister and Cabinet,National Australia Day Council Limited,National Australia Day Council Limited Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-australia-day-council-limited/national-australia-day-council-limited-annual-report-2023-24,none,,
Health,National Blood Authority,National Blood Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24/part-five%3A-appendixes/appendix-7.-acronyms-and-abbreviations,
"Infrastructure, Transport, Cities and Regional Development",National Capital Authority,National Capital Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24/glossary-of-abbreviations%2C-acronyms-and-terms,
Treasury,National Competition Council,National Competition Council Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24/glossary,
Social Services,National Disability Insurance Agency,"National Disability Insurance Agency Annual Report 2023-24
",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24/6.-appendices/6.15.2-acronyms,
Home Affairs,National Emergency Management Agency,National Emergency Management Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations,https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations/acronyms-and-abbreviations
Communications and the Arts,National Film and Sound Archive of Australia,National Film and Sound Archive Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations,
Communications and the Arts,National Gallery of Australia,National Gallery of Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms,
Health,National Health Funding Body (NHFB),National Health Funding Body Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/glossary,https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/abbreviations-and-acronyms
Health,National Health and Medical Research Council (NHMRC),Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24,one,https://www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24/appendices/appendix-4%3A-abbreviations-and-acronyms,
Prime Minister and Cabinet,National Indigenous Australians Agency,National Indigenous Australians Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24,both,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/abbreviations
"Infrastructure, Transport, Regional Development, Communications and the Arts",National Intermodal Corporation Limited,National Intermodal Annual Report 2024 ,Commonwealth Company,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024,one,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024/6.-reporting-index/glossary-and-abbreviations,
Communications and the Arts,National Library of Australia,National Library of Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices,https://www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/compliance-index
Health,National Mental Health Commission,National Mental Health Commission Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms
Communications and the Arts,National Museum of Australia,National Museum of Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/national-museum-of-australia/national-museum-of-australia-annual-report-2023-24,none,,
"Industry, Innovation and Science",National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA),National Offshore Petroleum Safety and Environmental Management Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24/part-4%3A-annual-performance-statements/glossary-of-acronyms-and-abbreviations,
Communications and the Arts,National Portrait Gallery of Australia,Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/national-portrait-gallery-of-australia/annual-report-2023-2024,none,,
"Industry, Science and Resources",National Reconstruction Fund Corporation,National Reconstruction Fund Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-science-and-resources/national-reconstruction-fund-corporation/national-reconstruction-fund-corporation-annual-report-2023-24,none,,
"Infrastructure, Transport, Cities and Regional Development",National Transport Commission,National Transport Commission Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24,one,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms,
"Industry, Innovation and Science",Northern Australia Infrastructure Facility,Northern Australia Infrastructure Facility Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024/abbreviations-and-acronyms,
Prime Minister and Cabinet,Northern Land Council,Northern Land Council Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24/part-5---appendices/glossary,
Prime Minister and Cabinet,Northern Territory Aboriginal Investment Corporation,Northern Territory Aboriginal Investment Corporation Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-territory-aboriginal-investment-corporation/northern-territory-aboriginal-investment-corporation-annual-report-2023-2024,none,,
Attorney-General's,Office of Parliamentary Counsel,Office of Parliamentary Counsel Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24/glossary,
Treasury,Office of the Auditing and Assurance Standards Board (AUASB),Office of the Auditing and Assurance Standards Board Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24/abbreviations,
Treasury,Office of the Australian Accounting Standards Board (AASB),Office of the Australian Accounting Standards Board Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24/abbreviations,
Attorney-General's,Office of the Australian Information Commissioner,Office of the Australian Information Commissioner Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-australian-information-commissioner/office-of-the-australian-information-commissioner-annual-report-2023-24,none,,
Attorney-General's,Office of the Commonwealth Ombudsman,Office of the Commonwealth Ombudsman Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24,both,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/glossary,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/acronyms%2C-initialisms-and-abbreviations
Attorney-General's,Office of the Director of Public Prosecutions (CDPP),Office of the Director of Public Prosecutions (Cth) Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-director-of-public-prosecutions-cdpp/office-of-the-director-of-public-prosecutions-cth-annual-report-2023-24,none,,
Attorney-General's,Office of the Fair Work Ombudsman,Office of the Fair Work Ombudsman 2023-24 Annual Report,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report,both,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms
Health and Aged Care,Office of the Inspector-General of Aged Care,"Office of the Inspector-General of Aged Care

Annual Report 2023-24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24,one,https://www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24/appendix-4%3A-glossary,
Attorney-General's,Office of the Inspector-General of Intelligence and Security,Office of the Inspector-General of Intelligence and Security Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24/preliminaries/glossary,
Prime Minister and Cabinet,Office of the Official Secretary to the Governor-General,Office of the Official Secretary to the Governor-General Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24/glossary%2C-abbreviations-and-acronyms,
Attorney-General's,Office of the Special Investigator,Office of the Special Investigator Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24/part-7-reference-material-/glossary-of-abbreviations-and-acronyms,
Communications and the Arts,Old Parliament House,"Museum of Australian Democracy at Old Parliament House Annual Report
2023–24",Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/old-parliament-house/museum-of-australian-democracy-at-old-parliament-house-annual-report-2023-24,none,,
Health,Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Australian Organ and Tissue Donation and Transplantation Authority Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-5%3A-glossary,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-4%3A-abbreviations
Prime Minister and Cabinet,Outback Stores Pty Ltd,Outback Stores Pty Ltd Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/outback-stores-pty-ltd/outback-stores-pty-ltd-annual-report-2023-24,none,,
Parliamentary Departments (not a portfolio),Parliamentary Budget Office,Parliamentary Budget Office Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24,both,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/glossary,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/abbreviations-and-acronyms
Finance,Parliamentary Workplace Support Service,Parliamentary Workplace Support Service Annual Report 2023-24 ,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24,one,https://www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms,
Treasury,Productivity Commission,Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24/abbreviations,
Health,Professional Services Review,Professional Services Review Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/professional-services-review/professional-services-review-annual-report-2023-24,none,,
Defence,RAAF Welfare Recreational Company,RAAF Welfare Recreational Company Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/defence/raaf-welfare-recreational-company/raaf-welfare-recreational-company-annual-report-2023-24,none,,
Agriculture,Regional Investment Corporation,Regional Investment Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/regional-investment-corporation/regional-investment-corporation-annual-report-2023-24,none,,
Treasury,Reserve Bank of Australia,Reserve Bank of Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24/part-5%3A-indexes/5.5-abbreviations,
Defence,Royal Australian Air Force Veterans' Residences Trust Fund,Royal Australian Air Force Veterans' Residences Trust Fund Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/royal-australian-air-force-veterans-residences-trust-fund/royal-australian-air-force-veterans-residences-trust-fund-annual-report-2023-24,none,,
Defence,Royal Australian Air Force Welfare Trust Fund,Royal Australian Air Force Welfare Fund Annual Report 1 July 2023 to 30 June 2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/royal-australian-air-force-welfare-trust-fund/royal-australian-air-force-welfare-fund-annual-report-1-july-2023-to-30-june-2024,none,,
Treasury,Royal Australian Mint,Annual Report Royal Australian Mint 2023 -2024,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024,both,https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary,https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/abbreviations-and-acronyms
Defence,Royal Australian Navy Relief Trust Fund,Royal Australian Navy Relief Trust Fund Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/defence/royal-australian-navy-relief-trust-fund/royal-australian-navy-relief-trust-fund-annual-report-2023-24,none,,
Agriculture,Rural Industries Research and Development Corporation,AgriFutures Australia Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024,one,https://www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary,
Attorney-General's,Safe Work Australia,Safe Work Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24,both,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/glossary-of-terms,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/acronyms-and-abbreviations
Communications and the Arts,Screen Australia,Screen Australia Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/screen-australia/screen-australia-annual-report-2023-2024,none,,
Attorney-General's,"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority)","Seafarers Safety, Rehabilitation and Compensation Authority Annual Report 2023-24",Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24/glossary/glossary,
Services Australia,Services Australia,Services Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24/part-11%3A-appendices/appendix-e---glossary-of-abbreviations-and-acronyms,
"Climate Change, Energy, the Environment and Water",Snowy Hydro Limited,Snowy Hydro Limited Annual Report 2023-24,Commonwealth Company,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/snowy-hydro-limited/snowy-hydro-limited-annual-report-2023-24,none,,
Communications and the Arts,Special Broadcasting Service Corporation,Special Broadcasting Service Corporation Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/communications-and-the-arts/special-broadcasting-service-corporation/special-broadcasting-service-corporation-annual-report-2023-24,none,,
Health,Sport Integrity Australia,Sport Integrity Australia Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24,both,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/glossary,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations
"Agriculture, Water and the Environment",Sydney Harbour Federation Trust,Sydney Harbour Federation Trust Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24/abbreviations-and-acronyms,
Education,Tertiary Education Quality and Standards Agency,Tertiary Education Quality and Standards Agency Annual Report 2023–24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions,
Prime Minister and Cabinet,Tiwi Land Council,Annual Report 2023-2024,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-,
Prime Minister and Cabinet,Torres Strait Regional Authority,Torres Strait Regional Authority Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations,
Foreign Affairs and Trade,Tourism Australia,Tourism Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24,both,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms
"Infrastructure, Transport, Cities and Regional Development",WSA Co Ltd,WSA Co Limited Annual Report 2023–24,Commonwealth Company,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24,both,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations
Agriculture,Wine Australia,Wine Australia Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24,one,https://www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary,
Prime Minister and Cabinet,Workplace Gender Equality Agency,Workplace Gender Equality Agency Annual Report 2023-24,Non-Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24,one,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms,
Prime Minister and Cabinet,Wreck Bay Aboriginal Community Council,Wreck Bay Aboriginal Community Council Annual Report 2023-24,Corporate Commonwealth Entity,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/wreck-bay-aboriginal-community-council/wreck-bay-aboriginal-community-council-annual-report-2023-24,none,,
