Title,Portfolio,Entity,URL
AAF Company Annual Report 2023-24,Defence,AAF Company,https:/www.transparency.gov.au/publications/defence/aaf-company/aaf-company-annual-report-2023-24
Annual Report 2024,Finance,ASC Pty Ltd,https:/www.transparency.gov.au/publications/finance/asc-pty-ltd/annual-report-2024
Aboriginal Hostels Limited Annual Report 2023-24,Prime Minister and Cabinet,Aboriginal Hostels Limited,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/aboriginal-hostels-limited/aboriginal-hostels-limited-annual-report-2023-24
Administrative Appeals Tribunal Annual Report 2023–24,Attorney-General's,Administrative Appeals Tribunal,https:/www.transparency.gov.au/publications/attorney-general-s/administrative-appeals-tribunal/administrative-appeals-tribunal-annual-report-2023-24
Aged Care Quality and Safety Commission Annual Report 2023-2024,Health,Aged Care Quality and Safety Commission,https:/www.transparency.gov.au/publications/health/aged-care-quality-and-safety-commission/aged-care-quality-and-safety-commission-annual-report-2023-2024
Airservices Australia Annual Report 2023–24,"Infrastructure, Transport, Cities and Regional Development",Airservices Australia,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/airservices-australia/airservices-australia-annual-report-2023-24
Anindilyakwa Land Council Annual Report 2023-24 ,Prime Minister and Cabinet,Anindilyakwa Land Council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/anindilyakwa-land-council/anindilyakwa-land-council-annual-report-2023-24
AAFCANS - Army & Air Force Canteen Service,Defence,Army and Air Force Canteen Service,https:/www.transparency.gov.au/publications/defence/army-and-air-force-canteen-service/aafcans-army-air-force-canteen-service
Asbestos and Silica Safety and Eradication Agency Annual Report 2023-24,Employment and Workplace Relations,Asbestos and Silica Safety and Eradication Agency,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/asbestos-and-silica-safety-and-eradication-agency/asbestos-and-silica-safety-and-eradication-agency-annual-report-2023-24
Attorney-General's Department Annual Report 2023-24,Attorney-General's,Attorney-General's Department,https:/www.transparency.gov.au/publications/attorney-general-s/attorney-generals-department/attorney-general-s-department-annual-report-2023-24
Australian Broadcasting Corporation Annual Report 2023-24,Communications and the Arts,Australian Broadcasting Corporation,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-broadcasting-corporation/australian-broadcasting-corporation-annual-report-2023-24
Australian Bureau of Statistics Annual Report 2023-24,Treasury,Australian Bureau of Statistics,https:/www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24
Australian Centre for International Agricultural Research Annual Report 2023-24,Foreign Affairs and Trade,Australian Centre for International Agricultural Research (ACIAR),https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24
Australian Commission on Safety and Quality in Health Care Annual Report 2023–24,Health,Australian Commission on Safety and Quality in Health Care,https:/www.transparency.gov.au/publications/health/australian-commission-on-safety-and-quality-in-health-care/australian-commission-on-safety-and-quality-in-health-care-annual-report-2023-24
Australian Communications and Media Authority and eSafety Commissioner annual report 2023–24,Communications and the Arts,Australian Communications and Media Authority (ACMA),https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24
ACCC and AER Annual Report 2023-24,Treasury,Australian Competition and Consumer Commission (ACCC),https:/www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24
Australian Criminal Intelligence Commission Annual Report 2023-24,Attorney-General's,Australian Criminal Intelligence Commission,https:/www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24
"Australian Curriculum, Assessment and Reporting Authority (ACARA) Annual Report 2023–24",Education,"Australian Curriculum, Assessment and Reporting Authority",https:/www.transparency.gov.au/publications/education/australian-curriculum-assessment-and-reporting-authority/australian-curriculum-assessment-and-reporting-authority-acara-annual-report-2023-24
Australian Digital Health Agency Annual Report 2023–2024,Health,Australian Digital Health Agency,https:/www.transparency.gov.au/publications/health/australian-digital-health-agency/australian-digital-health-agency-annual-report-2023-2024
Australian Electoral Commission Annual Report 2023-24,Finance,Australian Electoral Commission,https:/www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24
Australian Federal Police Annual Report 2023–24,Attorney-General's,Australian Federal Police,https:/www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24
"Australian Film, Television and Radio School Annual Report 2023–24",Communications and the Arts,"Australian Film, Television and Radio School",https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-film-television-and-radio-school/australian-film-television-and-radio-school-annual-report-2023-24
Australian Financial Security Authority Annual Report 2023-24,Attorney-General's,Australian Financial Security Authority,https:/www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24
Australian Fisheries Management Authority Annual Report 2023-24,Agriculture,Australian Fisheries Management Authority,https:/www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24
Australian Hearing Services (Hearing Australia) Annual Report 2023-24,Services Australia,Australian Hearing Services (Hearing Australia),https:/www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24
Australian Human Rights Commission Annual Report 2023-2024,Attorney-General's,Australian Human Rights Commission,https:/www.transparency.gov.au/publications/attorney-general-s/australian-human-rights-commission/australian-human-rights-commission-annual-report-2023-2024
Annual Report 2023-24,Education,Australian Institute for Teaching and School Leadership Limited,https:/www.transparency.gov.au/publications/education/australian-institute-for-teaching-and-school-leadership-limited/annual-report-2023-24
Australian Institute of Aboriginal and Torres Strait Islander Studies Annual Report 2023–2024,Prime Minister and Cabinet,Australian Institute of Aboriginal and Torres Strait Islander Studies,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024
Annual report 2023–24,Attorney-General's,Australian Institute of Criminology,https:/www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24
Australian Institute of Family Studies Annual Report 2023-24,Social Services,Australian Institute of Family Studies (AIFS),https:/www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24
Australian Institute of Health and Welfare Annual Report 2023–24,Health,Australian Institute of Health and Welfare,https:/www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24
Australian Institute of Marine Science Annual Report 2023-24,"Climate Change, Energy, the Environment and Water",Australian Institute of Marine Science,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24
Australian Law Reform Commission Annual Report 2023-24,Attorney-General's,Australian Law Reform Commission,https:/www.transparency.gov.au/publications/attorney-general-s/australian-law-reform-commission/australian-law-reform-commission-annual-report-2023-24
Australian Maritime Safety Authority Annual Report 2023-24,"Infrastructure, Transport, Cities and Regional Development",Australian Maritime Safety Authority,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-maritime-safety-authority/australian-maritime-safety-authority-annual-report-2023-24
Australian Military Forces Relief Trust Fund Annual Report 2023-24,Defence,Australian Military Forces Relief Trust Fund,https:/www.transparency.gov.au/publications/defence/australian-military-forces-relief-trust-fund/australian-military-forces-relief-trust-fund-annual-report-2023-24
Australian National Audit Office Annual Report 2023-24,Prime Minister and Cabinet,Australian National Audit Office,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24
Australian National Maritime Museum Annual Report 2023-24,Communications and the Arts,Australian National Maritime Museum,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-national-maritime-museum/australian-national-maritime-museum-annual-report-2023-24
Annual Report 2023-24,Finance,Australian Naval Infrastructure Pty Ltd,https:/www.transparency.gov.au/publications/finance/australian-naval-infrastructure-pty-ltd/annual-report-2023-24
Australian Nuclear Science and Technology Organisation Annual Report 2023-24,"Industry, Innovation and Science",Australian Nuclear Science and Technology Organisation,https:/www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24
Australian Office of Financial Management Annual Report 2023-24,Treasury,Australian Office of Financial Management (AOFM),https:/www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24
Australian Pesticides and Veterinary Medicines Authority Annual Report 2023–24,Agriculture,Australian Pesticides and Veterinary Medicines Authority (APVMA),https:/www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24
Australian Postal Corporation Annual Report 2023-24,Communications and the Arts,Australian Postal Corporation,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-postal-corporation/australian-postal-corporation-annual-report-2023-24
Australian Prudential Regulation Authority Annual Report 2023-24,Treasury,Australian Prudential Regulation Authority (APRA),https:/www.transparency.gov.au/publications/treasury/australian-prudential-regulation-authority/australian-prudential-regulation-authority-annual-report-2023-24
Australian Public Service Commission Annual Report 2023-24,Prime Minister and Cabinet,Australian Public Service Commission,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24
Australian Radiation Protection and Nuclear Safety Agency Annual Report 2023-24,Health,Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),https:/www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24
Australian Rail Track Corporation Limited Annual Report 2023-24,"Infrastructure, Transport, Cities and Regional Development",Australian Rail Track Corporation Limited,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-rail-track-corporation-limited/australian-rail-track-corporation-limited-annual-report-2023-24
Australian Reinsurance Pool Corporation Annual Report 2023-24,Treasury,Australian Reinsurance Pool Corporation,https:/www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24
AUSTRALIAN RENEWABLE ENERGY AGENCY ANNUAL REPORT 2023-24,"Climate Change, Energy, the Environment and Water",Australian Renewable Energy Agency,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24
Australian Research Council Annual Report 2023–24,Education,Australian Research Council,https:/www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24
ANNUAL REPORT 2023–24,Treasury,Australian Securities and Investments Commission (ASIC),https:/www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24
ASIO Annual Report 2023-24,Home Affairs,Australian Security Intelligence Organisation,https:/www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24
Australian Signals Directorate Annual Report 2023-24,Defence,Australian Signals Directorate,https:/www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24
Australian Skills Quality Authority (National Vocational Education and Training Regulator) Annual Report 2023-24,"Education, Skills and Employment",Australian Skills Quality Authority (National Vocational Education and Training Regulator),https:/www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24
Australian Sports Commission Annual Report 2023-24,Health,Australian Sports Commission (Australian Institute of Sport),https:/www.transparency.gov.au/publications/health/australian-sports-commission-australian-institute-of-sport/australian-sports-commission-annual-report-2023-24
"Australian Sports Foundation Limited
Annual Report 2023-24",Health,Australian Sports Foundation Limited,https:/www.transparency.gov.au/publications/health/australian-sports-foundation-limited/australian-sports-foundation-limited-annual-report-2023-24
Australian Strategic Policy Institute Annual Report 2023-24,Defence,Australian Strategic Policy Institute Ltd,https:/www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24
Australian Submarine Agency Annual Report 2023–24,Defence,Australian Submarine Agency,https:/www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24
Australian Taxation Office annual report 2023–24,Treasury,Australian Taxation Office,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24
Australian Trade and Investment Commission Annual Report 2023-24,Foreign Affairs and Trade,Australian Trade and Investment Commission (Austrade),https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24
Australian Transaction Reports and Analysis Centre Annual Report 2023-24,Attorney-General's,Australian Transaction Reports and Analysis Centre (AUSTRAC),https:/www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24
Australian Transport Safety Bureau (ATSB) Annual Report 2023-24,"Infrastructure, Transport, Cities and Regional Development",Australian Transport Safety Bureau (ATSB),https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24
Australian War Memorial Annual Report 2023-24,Veterans' Affairs,Australian War Memorial,https:/www.transparency.gov.au/publications/veterans-affairs/australian-war-memorial/australian-war-memorial-annual-report-2023-24
Bundanon Annual Report 2023–2024 ,Communications and the Arts,Bundanon Trust,https:/www.transparency.gov.au/publications/communications-and-the-arts/bundanon-trust/bundanon-annual-report-2023-2024
Annual Report 2023–24,"Agriculture, Water and the Environment",Bureau of Meteorology,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24
Annual Report 2023-24,Health,Cancer Australia,https:/www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24
Central Land Council Annual Report 2023-24,Prime Minister and Cabinet,Central Land Council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/central-land-council/central-land-council-annual-report-2023-24
Civil Aviation Safety Authority Annual Report 2023-24,"Infrastructure, Transport, Cities and Regional Development",Civil Aviation Safety Authority,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/civil-aviation-safety-authority/civil-aviation-safety-authority-annual-report-2023-24
Clean Energy Finance Corporation Annual Report 2023–24,"Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24
Clean Energy Regulator Annual Report 2023-24,"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-regulator/clean-energy-regulator-annual-report-2023-24
Climate Change Authority Annual Report 2023-24,"Climate Change, Energy, the Environment and Water",Climate Change Authority,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24
Coal Mining Industry (Long Service Leave Funding) Corporation Annual Report 2023–24,Attorney-General's,Coal Mining Industry (Long Service Leave Funding) Corporation,https:/www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24
"Comcare and Safety, Rehabilitation and Compensation Commission Annual Report 2023-24",Attorney-General's,Comcare,https:/www.transparency.gov.au/publications/attorney-general-s/comcare/comcare-and-safety-rehabilitation-and-compensation-commission-annual-report-2023-24
Commonwealth Grants Commission Annual Report 2023-24,Treasury,Commonwealth Grants Commission,https:/www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24
Commonwealth Scientific and Industrial Research Organisation Annual Report 2023-24,"Industry, Innovation and Science",Commonwealth Scientific and Industrial Research Organisation,https:/www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24
Commonwealth Superannuation Corporation Annual Report 2023-24,Finance,Commonwealth Superannuation Corporation (CSC),https:/www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24
Cotton Research and Development Corporation Annual Report 2023-24,Agriculture,Cotton Research and Development Corporation,https:/www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24
Creative Australia Annual Report 2023-24,"Infrastructure, Transport, Regional Development, Communications and the Arts",Creative Australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/creative-australia/creative-australia-annual-report-2023-24
Defence Housing Australia Annual Report 2023-24,Defence,Defence Housing Australia,https:/www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24
"Department of Agriculture, Fisheries and Forestry Annual report 2023–24","Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",https:/www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24
"Department of Climate Change, Energy, the Environment and Water Annual Report 2023–24","Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24
Department of Defence Annual Report 2023-24,Defence,Department of Defence,https:/www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24
Department of Education 2023-24 Annual Report,Education [i],Department of Education [i],https:/www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report
Department of Employment and Workplace Relations Annual Report 2023-24,Employment and Workplace Relations,Department of Employment and Workplace Relations,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24
Department of Finance Annual Report 2023-24,Finance,Department of Finance,https:/www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24
Department of Foreign Affairs and Trade Annual Report 2023-24,Foreign Affairs and Trade,Department of Foreign Affairs and Trade,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24
Department of Health and Aged Care Annual Report 2023-24,Health and Aged Care,Department of Health and Aged Care,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24
DEPARTMENT OF HOME AFFAIRS | 2023–24 ANNUAL REPORT,Home Affairs,Department of Home Affairs,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report
"Department of Industry, Science and Resources Annual Report 2023–24","Industry, Science and Resources","Department of Industry, Science and Resources",https:/www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts Annual Report 2023-24","Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24
Department of Parliamentary Services Annual Report 2023 - 2024,Parliamentary Departments (not a portfolio),Department of Parliamentary Services,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024
