Portfolio,Entity,Annual Report Url,Type of Glossary,Glossary Url,Entity Website
"Industry, Innovation and Science",commonwealth scientific and industrial research organisation,https:/www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24,acronym,https:/www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/acronyms,http://www.csiro.au
Finance,commonwealth superannuation corporation (csc),https:/www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24/10.-glossary,https://www.csc.gov.au/
Agriculture,cotton research and development corporation,https:/www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24/section-6%3A-appendices/appendix-7%3A-abbreviations-list,http://crdc.com.au/
Defence,defence housing australia,https:/www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24/part-6---appendices-and-reference-information/appendix-i---acronyms-and-abbreviations,http://www.dha.gov.au
"Agriculture, Fisheries and Forestry","department of agriculture, fisheries and forestry",https:/www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24/part-6%3A-aids-to-access/glossary,https://www.agriculture.gov.au/
"Climate Change, Energy, the Environment and Water","department of climate change, energy, the environment and water",https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24/part-7-%E2%80%93-aids-to-access/abbreviations-and-acronyms,https://www.dcceew.gov.au/
Defence,department of defence,https:/www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24/abbreviations-and-acronyms,http://www.defence.gov.au/
Education,department of education,https:/www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report,mixed,https:/www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report/indexes/abbreviations-and-acronyms,https://www.education.gov.au/
Employment and Workplace Relations,department of employment and workplace relations,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24,mixed,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24/chapter-6---indexes/abbreviations-and-acronyms,https://www.dewr.gov.au
Finance,department of finance,https:/www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24/abbreviations-and-acronyms,http://www.finance.gov.au
Foreign Affairs and Trade,department of foreign affairs and trade,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms,http://www.dfat.gov.au
Health and Aged Care,department of health and aged care,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary,https://www.health.gov.au/
Health and Aged Care,department of health and aged care,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations,https://www.health.gov.au/
Home Affairs,department of home affairs,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report,glossary,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary,http://www.homeaffairs.gov.au/
Home Affairs,department of home affairs,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report,mixed,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms,http://www.homeaffairs.gov.au/
"Industry, Science and Resources","department of industry, science and resources",https:/www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms,http://www.industry.gov.au
"Infrastructure, Transport, Regional Development, Communications and the Arts","department of infrastructure, transport, regional development, communications and the arts",https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations,https://www.infrastructure.gov.au
"Infrastructure, Transport, Regional Development, Communications and the Arts","department of infrastructure, transport, regional development, communications and the arts",https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary,https://www.infrastructure.gov.au
Parliamentary Departments (not a portfolio),department of parliamentary services,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024,mixed,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/acronyms-and-abbreviations,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services
Parliamentary Departments (not a portfolio),department of parliamentary services,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024,glossary,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024/part-9%3A-reference-material/glossary,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services
Social Services,department of social services,https:/www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report,mixed,https:/www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report/part-6---appendices-and-index/appendix-g-glossary-of-abbreviations-and-acronyms,http://www.dss.gov.au
Veterans' Affairs,department of veterans' affairs,https:/www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24/08-aids-to-access/acronyms-and-abbreviations,http://www.dva.gov.au
Parliamentary Departments (not a portfolio),department of the house of representatives,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24/abbreviations-and-acronyms,https://www.aph.gov.au/dhr
Parliamentary Departments (not a portfolio),department of the senate,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24/references/glossary-and-abbreviations-list,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate
Treasury,department of the treasury,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/abbreviations-and-acronyms,https://treasury.gov.au/
Treasury,department of the treasury,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24/part-5---appendices/glossary,https://treasury.gov.au/
Finance,digital transformation agency,https:/www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24/appendices/appendix-d%3A-glossary-and-abbreviations,https://www.dta.gov.au
Social Services,"domestic, family and sexual violence commission",https:/www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24/appendix-a%3A-other-mandatory-information/appendix-b%3A-glossary-of-abbreviations-and-acronyms,https://dfsvc.gov.au/
Foreign Affairs and Trade,"export finance and insurance corporation (efic, export finance australia)",https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024,mixed,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024/appendices/appendix-f%3A-abbreviations-and-acronyms,https://www.nrf.gov.au
Attorney-General's,fair work commission,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/glossary,https://www.fwc.gov.au/
Attorney-General's,fair work commission,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice/acronyms-and-abbreviations,https://www.fwc.gov.au/
Attorney-General's,federal court of australia,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/glossary,https://www.fedcourt.gov.au/
Attorney-General's,federal court of australia,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24/about-this-report/acronyms-and-abbreviations,https://www.fedcourt.gov.au/
Agriculture,fisheries research and development corporation,https:/www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24,mixed,https:/www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24/appendices/abbreviations-and-acronyms,http://frdc.com.au
Finance,future fund management agency,https:/www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24/08-references-and-index/glossary-of-abbreviations-and-acronyms,http://www.futurefund.gov.au
"Industry, Innovation and Science",geoscience australia,https:/www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24/05-appendices/glossary-of-abbreviations-and-acronyms,http://www.ga.gov.au
Agriculture,grains research and development corporation,https:/www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24/7.-references/abbreviations-lndex,https://grdc.com.au/
"Agriculture, Water and the Environment",great barrier reef marine park authority,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24/6.-appendices/acronyms-and-abbreviations,http://www.gbrmpa.gov.au
Treasury,housing australia,https:/www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24/appendix-f%3A-abbreviations-and-acronyms,www.housingaustralia.gov.au
"Industry, Innovation and Science",ip australia,https:/www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24/part-6%3A-requirements/acronym%2Fabbreviation,https://www.ipaustralia.gov.au/
Health and Aged Care,independent health and aged care pricing authority,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-c-%E2%80%94-glossary,https://www.ihacpa.gov.au/
Health and Aged Care,independent health and aged care pricing authority,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24/appendices/appendix-b-%E2%80%94-acronyms-and-abbreviations,https://www.ihacpa.gov.au/
Finance,independent parliamentary expenses authority,https:/www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24/chapter-5.-other-mandatory-information/glossary-,https://www.ipea.gov.au/
Prime Minister and Cabinet,indigenous land and sea corporation,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24/part-seven%3A-guide-to-access/acronyms%2C-abbreviations-and-terminology,http://www.ilc.gov.au
Treasury,inspector-general of taxation,https:/www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24/part-7-%E2%80%93-reference-materials/glossary,http://www.igt.gov.au
Agriculture,murray-darling basin authority,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/glossary,http://www.mdba.gov.au
Agriculture,murray-darling basin authority,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24/appendices/abbreviations,http://www.mdba.gov.au
Social Services,ndis quality and safeguards commission,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/3.-glossary,https://www.ndiscommission.gov.au/
Social Services,ndis quality and safeguards commission,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24/appendices/4.-abbreviations-and-acronyms,https://www.ndiscommission.gov.au/
Attorney-General's,national anti-corruption commission,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/acronyms-and-abbreviations,https://www.nacc.gov.au/
Attorney-General's,national anti-corruption commission,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24/aides-to-access/glossary-of-data-terms,https://www.nacc.gov.au/
"Infrastructure, Transport, Regional Development, Communications and the Arts",national archives of australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/abbreviations-and-acronyms,https://www.naa.gov.au/
"Infrastructure, Transport, Regional Development, Communications and the Arts",national archives of australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/glossary,https://www.naa.gov.au/
Health,national blood authority,https:/www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24/part-five%3A-appendixes/appendix-7.-acronyms-and-abbreviations,http://www.blood.gov.au
"Infrastructure, Transport, Cities and Regional Development",national capital authority,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24/glossary-of-abbreviations%2C-acronyms-and-terms,http://www.nca.gov.au
Treasury,national competition council,https:/www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24/glossary,http://ncc.gov.au/
Social Services,national disability insurance agency,https:/www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24,acronym,https:/www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24/6.-appendices/6.15.2-acronyms,http://www.ndis.gov.au/about-us
Home Affairs,national emergency management agency,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations/acronyms-and-abbreviations,https://nema.gov.au/#/
Home Affairs,national emergency management agency,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations,https://nema.gov.au/#/
Communications and the Arts,national film and sound archive of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations,http://www.nfsa.gov.au
Communications and the Arts,national gallery of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms,http://nga.gov.au
Health,national health funding body (nhfb),https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/abbreviations-and-acronyms,http://www.nhfb.gov.au
Health,national health funding body (nhfb),https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/glossary,http://www.nhfb.gov.au
Health,national health and medical research council (nhmrc),https:/www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24/appendices/appendix-4%3A-abbreviations-and-acronyms,http://www.nhmrc.gov.au
Prime Minister and Cabinet,national indigenous australians agency,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/glossary,https://www.niaa.gov.au
Prime Minister and Cabinet,national indigenous australians agency,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes,https://www.niaa.gov.au
Prime Minister and Cabinet,national indigenous australians agency,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/abbreviations,https://www.niaa.gov.au
"Infrastructure, Transport, Regional Development, Communications and the Arts",national intermodal corporation limited,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024/6.-reporting-index/glossary-and-abbreviations,http://www.micl.com.au
Communications and the Arts,national library of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices,http://www.nla.gov.au/
Communications and the Arts,national library of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/compliance-index,http://www.nla.gov.au/
