Portfolio,Entity,Annual Report Url,Type of Glossary,Glossary Url,Entity Website
Communications and the Arts,national library of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/glossary,http://www.nla.gov.au/
Communications and the Arts,national library of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/shortened-terms,http://www.nla.gov.au/
Health,national mental health commission,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary,http://www.nopsema.gov.au
Health,national mental health commission,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24,acronym,https:/www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms,http://www.nopsema.gov.au
"Industry, Innovation and Science",national offshore petroleum safety and environmental management authority (nopsema),https:/www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24/part-4%3A-annual-performance-statements/glossary-of-acronyms-and-abbreviations,http://www.nopsema.gov.au
"Infrastructure, Transport, Cities and Regional Development",national transport commission,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms,http://www.ntc.gov.au
"Industry, Innovation and Science",northern australia infrastructure facility,https:/www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024,mixed,https:/www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024/abbreviations-and-acronyms,https://naif.gov.au/
Prime Minister and Cabinet,northern land council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24/part-5---appendices/glossary,http://www.nlc.org.au
Attorney-General's,office of parliamentary counsel,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24/glossary,http://www.opc.gov.au
Treasury,office of the auditing and assurance standards board (auasb),https:/www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24/abbreviations,http://www.auasb.gov.au
Treasury,office of the australian accounting standards board (aasb),https:/www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24/abbreviations,http://www.aasb.gov.au
Attorney-General's,office of the commonwealth ombudsman,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/acronyms%2C-initialisms-and-abbreviations,http://www.ombudsman.gov.au
Attorney-General's,office of the commonwealth ombudsman,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/glossary,http://www.ombudsman.gov.au
Attorney-General's,office of the fair work ombudsman,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary,https://www.fairwork.gov.au/
Attorney-General's,office of the fair work ombudsman,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms,https://www.fairwork.gov.au/
Health and Aged Care,office of the inspector-general of aged care,https:/www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24/appendix-4%3A-glossary,https://www.igac.gov.au/
Attorney-General's,office of the inspector-general of intelligence and security,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24/preliminaries/glossary,http://www.igis.gov.au
Prime Minister and Cabinet,office of the official secretary to the governor-general,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24/glossary%2C-abbreviations-and-acronyms,https://www.gg.gov.au/office-official-secretary-governor-general
Attorney-General's,office of the special investigator,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24/part-7-reference-material-/glossary-of-abbreviations-and-acronyms,https://www.osi.gov.au/
Health,organ and tissue authority (australian organ and tissue donation and transplantation authority),https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-5%3A-glossary,http://www.donatelife.gov.au
Health,organ and tissue authority (australian organ and tissue donation and transplantation authority),https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-4%3A-abbreviations,http://www.donatelife.gov.au
Parliamentary Departments (not a portfolio),parliamentary budget office,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/glossary,http://www.pbo.gov.au
Parliamentary Departments (not a portfolio),parliamentary budget office,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/abbreviations-and-acronyms,http://www.pbo.gov.au
Finance,parliamentary workplace support service,https:/www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms,https://www.pwss.gov.au/
Treasury,productivity commission,https:/www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24/abbreviations,https://www.pc.gov.au
Treasury,reserve bank of australia,https:/www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24/part-5%3A-indexes/5.5-abbreviations,https://www.rba.gov.au/
Treasury,royal australian mint,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024,mixed,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/abbreviations-and-acronyms,http://www.ramint.gov.au
Treasury,royal australian mint,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024,glossary,https:/www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary,http://www.ramint.gov.au
Agriculture,rural industries research and development corporation,https:/www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024,glossary,https:/www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary,https://agrifutures.com.au/
Attorney-General's,safe work australia,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/acronyms-and-abbreviations,https://www.safeworkaustralia.gov.au/
Attorney-General's,safe work australia,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/glossary-of-terms,https://www.safeworkaustralia.gov.au/
Attorney-General's,"seafarers safety, rehabilitation and compensation authority (seacare authority)",https:/www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24/glossary/glossary,http://www.seacare.gov.au/
Services Australia,services australia,https:/www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24/part-11%3A-appendices/appendix-e---glossary-of-abbreviations-and-acronyms,https://www.servicesaustralia.gov.au/
Health,sport integrity australia,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/glossary,https://www.sportintegrity.gov.au/
Health,sport integrity australia,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations,https://www.sportintegrity.gov.au/
"Agriculture, Water and the Environment",sydney harbour federation trust,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24/abbreviations-and-acronyms,http://www.harbourtrust.gov.au
Education,tertiary education quality and standards agency,https:/www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions,http://www.teqsa.gov.au
Prime Minister and Cabinet,tiwi land council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024,glossary,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-,http://www.tiwilandcouncil.com
Prime Minister and Cabinet,torres strait regional authority,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations,http://www.tsra.gov.au
Foreign Affairs and Trade,tourism australia,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms,http://www.tourism.australia.com
Foreign Affairs and Trade,tourism australia,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary,http://www.tourism.australia.com
"Infrastructure, Transport, Cities and Regional Development",wsa co ltd,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,https://www.ani.com.au/
"Infrastructure, Transport, Cities and Regional Development",wsa co ltd,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations/glossary,https://www.ani.com.au/
"Infrastructure, Transport, Cities and Regional Development",wsa co ltd,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations/abbreviations,https://www.ani.com.au/
Agriculture,wine australia,https:/www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary,www.wineaustralia.com
Prime Minister and Cabinet,workplace gender equality agency,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms,https://www.wgea.gov.au
Agriculture,regional investment corporation,https:/www.transparency.gov.au/publications/agriculture/regional-investment-corporation/regional-investment-corporation-annual-report-2023-24,n/a,n/a,https://www.ric.gov.au/
"Agriculture, Water and the Environment",director of national parks,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/director-of-national-parks/director-of-national-parks-annual-report-2023-24,n/a,n/a,https://www.dcceew.gov.au/parks-heritage/national-parks/parks-australia/director-national-parks
Attorney-General's,australian human rights commission,https:/www.transparency.gov.au/publications/attorney-general-s/australian-human-rights-commission/australian-human-rights-commission-annual-report-2023-2024,n/a,n/a,http://www.humanrights.gov.au/
Attorney-General's,comcare,https:/www.transparency.gov.au/publications/attorney-general-s/comcare/comcare-and-safety-rehabilitation-and-compensation-commission-annual-report-2023-24,n/a,n/a,http://www.comcare.gov.au
Attorney-General's,office of the australian information commissioner,https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-australian-information-commissioner/office-of-the-australian-information-commissioner-annual-report-2023-24,n/a,n/a,http://www.oaic.gov.au
Attorney-General's,office of the director of public prosecutions (cdpp),https:/www.transparency.gov.au/publications/attorney-general-s/office-of-the-director-of-public-prosecutions-cdpp/office-of-the-director-of-public-prosecutions-cth-annual-report-2023-24,n/a,n/a,http://www.cdpp.gov.au
"Climate Change, Energy, the Environment and Water",clean energy regulator,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-regulator/clean-energy-regulator-annual-report-2023-24,n/a,n/a,http://www.cleanenergyregulator.gov.au
"Climate Change, Energy, the Environment and Water",snowy hydro limited,https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/snowy-hydro-limited/snowy-hydro-limited-annual-report-2023-24,n/a,n/a,https://www.snowyhydro.com.au/
Communications and the Arts,screen australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/screen-australia/screen-australia-annual-report-2023-2024,n/a,n/a,http://www.screenaustralia.gov.au/
Communications and the Arts,national portrait gallery of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-portrait-gallery-of-australia/annual-report-2023-2024,n/a,n/a,http://www.portrait.gov.au
Communications and the Arts,national museum of australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-museum-of-australia/national-museum-of-australia-annual-report-2023-24,n/a,n/a,http://www.nma.gov.au
Communications and the Arts,nbn co limited,https:/www.transparency.gov.au/publications/communications-and-the-arts/nbn-co-limited/nbn-2024-annual-report,n/a,n/a,http://www.nbnco.com.au/
Communications and the Arts,australian postal corporation,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-postal-corporation/australian-postal-corporation-annual-report-2023-24,n/a,n/a,http://auspost.com.au
Communications and the Arts,"australian film, television and radio school",https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-film-television-and-radio-school/australian-film-television-and-radio-school-annual-report-2023-24,n/a,n/a,http://www.aftrs.edu.au
Communications and the Arts,special broadcasting service corporation,https:/www.transparency.gov.au/publications/communications-and-the-arts/special-broadcasting-service-corporation/special-broadcasting-service-corporation-annual-report-2023-24,n/a,n/a,http://www.sbs.com.au/
Communications and the Arts,old parliament house,https:/www.transparency.gov.au/publications/communications-and-the-arts/old-parliament-house/museum-of-australian-democracy-at-old-parliament-house-annual-report-2023-24,n/a,n/a,http://moadoph.gov.au/
Communications and the Arts,australian national maritime museum,https:/www.transparency.gov.au/publications/communications-and-the-arts/australian-national-maritime-museum/australian-national-maritime-museum-annual-report-2023-24,n/a,n/a,http://www.anmm.gov.au
Communications and the Arts,bundanon trust,https:/www.transparency.gov.au/publications/communications-and-the-arts/bundanon-trust/bundanon-annual-report-2023-2024,n/a,n/a,http://www.bundanon.com.au/
Defence,raaf welfare recreational company,https:/www.transparency.gov.au/publications/defence/raaf-welfare-recreational-company/raaf-welfare-recreational-company-annual-report-2023-24,n/a,n/a,http://www.raafholidays.com.au
Defence,aaf company,https:/www.transparency.gov.au/publications/defence/aaf-company/aaf-company-annual-report-2023-24,n/a,n/a,http://www.armyholidays.com.au/
Defence,australian military forces relief trust fund,https:/www.transparency.gov.au/publications/defence/australian-military-forces-relief-trust-fund/australian-military-forces-relief-trust-fund-annual-report-2023-24,n/a,n/a,http://armyrtf.com.au
Defence,royal australian air force veterans' residences trust fund,https:/www.transparency.gov.au/publications/defence/royal-australian-air-force-veterans-residences-trust-fund/royal-australian-air-force-veterans-residences-trust-fund-annual-report-2023-24,n/a,n/a,https://www.airforce.gov.au/community/members-and-veterans/veterans-residences-trust
Defence,royal australian air force welfare trust fund,https:/www.transparency.gov.au/publications/defence/royal-australian-air-force-welfare-trust-fund/royal-australian-air-force-welfare-fund-annual-report-1-july-2023-to-30-june-2024,n/a,n/a,https://raafwelfaretrustfund.gov.au/
Defence,royal australian navy relief trust fund,https:/www.transparency.gov.au/publications/defence/royal-australian-navy-relief-trust-fund/royal-australian-navy-relief-trust-fund-annual-report-2023-24,n/a,n/a,http://intranet.defence.gov.au/navyweb/sites/RANRTF/ComWeb.asp?page=255915
Education,australian institute for teaching and school leadership limited,https:/www.transparency.gov.au/publications/education/australian-institute-for-teaching-and-school-leadership-limited/annual-report-2023-24,n/a,n/a,http://www.aitsl.edu.au/about-us
Education,"australian curriculum, assessment and reporting authority",https:/www.transparency.gov.au/publications/education/australian-curriculum-assessment-and-reporting-authority/australian-curriculum-assessment-and-reporting-authority-acara-annual-report-2023-24,n/a,n/a,http://www.acara.edu.au
Finance,australian naval infrastructure pty ltd,https:/www.transparency.gov.au/publications/finance/australian-naval-infrastructure-pty-ltd/annual-report-2023-24,n/a,n/a,https://www.ani.com.au/
Health,food standards australia new zealand,https:/www.transparency.gov.au/publications/health/food-standards-australia-new-zealand/food-standards-australia-new-zealand-annual-report-2023-24,n/a,n/a,http://www.foodstandards.gov.au
Health,australian digital health agency,https:/www.transparency.gov.au/publications/health/australian-digital-health-agency/australian-digital-health-agency-annual-report-2023-2024,n/a,n/a,https://www.digitalhealth.gov.au
Health,professional services review,https:/www.transparency.gov.au/publications/health/professional-services-review/professional-services-review-annual-report-2023-24,n/a,n/a,http://www.psr.gov.au
Health,australian sports foundation limited,https:/www.transparency.gov.au/publications/health/australian-sports-foundation-limited/australian-sports-foundation-limited-annual-report-2023-24,n/a,n/a,http://www.asf.org.au
Health,australian sports commission (australian institute of sport),https:/www.transparency.gov.au/publications/health/australian-sports-commission-australian-institute-of-sport/australian-sports-commission-annual-report-2023-24,n/a,n/a,https://www.ausport.gov.au/
Health,australian commission on safety and quality in health care,https:/www.transparency.gov.au/publications/health/australian-commission-on-safety-and-quality-in-health-care/australian-commission-on-safety-and-quality-in-health-care-annual-report-2023-24,n/a,n/a,http://www.safetyandquality.gov.au
"Industry, Science and Resources",national reconstruction fund corporation,https:/www.transparency.gov.au/publications/industry-science-and-resources/national-reconstruction-fund-corporation/national-reconstruction-fund-corporation-annual-report-2023-24,n/a,n/a,https://www.nrf.gov.au
"Infrastructure, Transport, Cities and Regional Development",infrastructure australia,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/infrastructure-australia/2023-24-annual-report,n/a,n/a,http://www.infrastructureaustralia.gov.au
"Infrastructure, Transport, Cities and Regional Development",australian rail track corporation limited,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-rail-track-corporation-limited/australian-rail-track-corporation-limited-annual-report-2023-24,n/a,n/a,http://www.artc.com.au
"Infrastructure, Transport, Cities and Regional Development",australian maritime safety authority,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-maritime-safety-authority/australian-maritime-safety-authority-annual-report-2023-24,n/a,n/a,http://www.amsa.gov.au
"Infrastructure, Transport, Regional Development, Communications and the Arts",high speed rail authority,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/high-speed-rail-authority/high-speed-rail-authority-annual-report-2023-24,n/a,n/a,https://www.hsra.gov.au/
"Infrastructure, Transport, Regional Development, Communications and the Arts",creative australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/creative-australia/creative-australia-annual-report-2023-24,n/a,n/a,https://creative.gov.au/
Prime Minister and Cabinet,wreck bay aboriginal community council,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/wreck-bay-aboriginal-community-council/wreck-bay-aboriginal-community-council-annual-report-2023-24,n/a,n/a,https://wbacc.gov.au/
Prime Minister and Cabinet,outback stores pty ltd,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/outback-stores-pty-ltd/outback-stores-pty-ltd-annual-report-2023-24,n/a,n/a,http://www.outbackstores.com.au
Prime Minister and Cabinet,department of the prime minister and cabinet,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/department-of-the-prime-minister-and-cabinet/annual-report-2023-24,n/a,n/a,http://www.pmc.gov.au
Prime Minister and Cabinet,national australia day council limited,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-australia-day-council-limited/national-australia-day-council-limited-annual-report-2023-24,n/a,n/a,http://www.australiaday.org.au
Prime Minister and Cabinet,aboriginal hostels limited,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/aboriginal-hostels-limited/aboriginal-hostels-limited-annual-report-2023-24,n/a,n/a,http://www.ahl.gov.au
Prime Minister and Cabinet,indigenous business australia,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-business-australia/indigenous-business-australia-annual-report-2023-24,n/a,n/a,http://www.iba.gov.au
Veterans' Affairs,australian war memorial,https:/www.transparency.gov.au/publications/veterans-affairs/australian-war-memorial/australian-war-memorial-annual-report-2023-24,n/a,n/a,http://www.awm.gov.au
