Agency,Portfolio,URL Col,URL,Status
National Archives of Australia,"Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url2,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24/part-6%3A-glossary-and-indexes/abbreviations-and-acronyms,OK
National Australia Day Council Limited,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
National Australia Day Council Limited,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
National Blood Authority,Health,glossary_url1,https://www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24/part-five%3A-appendixes/appendix-7.-acronyms-and-abbreviations,OK
National Blood Authority,Health,glossary_url2,nan,Error: Message: invalid argument
National Capital Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24/glossary-of-abbreviations%2C-acronyms-and-terms,OK
National Capital Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
National Competition Council,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24/glossary,OK
National Competition Council,Treasury,glossary_url2,nan,Error: Message: invalid argument
National Disability Insurance Agency,Social Services,glossary_url1,https://www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24/6.-appendices/6.15.2-acronyms,OK
National Disability Insurance Agency,Social Services,glossary_url2,nan,Error: Message: invalid argument
National Emergency Management Agency,Home Affairs,glossary_url1,https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations,OK
National Emergency Management Agency,Home Affairs,glossary_url2,https://www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24/appendix-2%3A-acronyms-and-abbreviations/acronyms-and-abbreviations,Not Found
National Film and Sound Archive of Australia,Communications and the Arts,glossary_url1,https://www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24/section-four%3A-appendices/abbreviations,OK
National Film and Sound Archive of Australia,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
National Gallery of Australia,Communications and the Arts,glossary_url1,https://www.transparency.gov.au/publications/communications-and-the-arts/national-gallery-of-australia/national-gallery-of-australia-annual-report-2023-24/part-6%3A-appendices/abbreviations-and-acronyms,OK
National Gallery of Australia,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
National Health Funding Body (NHFB),Health,glossary_url1,https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/glossary,OK
National Health Funding Body (NHFB),Health,glossary_url2,https://www.transparency.gov.au/publications/health/national-health-funding-body-nhfb/national-health-funding-body-annual-report-2023-24/part-5%3A-reference-information/abbreviations-and-acronyms,OK
National Health and Medical Research Council (NHMRC),Health,glossary_url1,https://www.transparency.gov.au/publications/health/national-health-and-medical-research-council-nhmrc/annual-report-2023-24/appendices/appendix-4%3A-abbreviations-and-acronyms,OK
National Health and Medical Research Council (NHMRC),Health,glossary_url2,nan,Error: Message: invalid argument
National Indigenous Australians Agency,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes,OK
National Indigenous Australians Agency,Prime Minister and Cabinet,glossary_url2,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/national-indigenous-australians-agency/national-indigenous-australians-agency-annual-report-2023-24/section-6---glossary-and-indexes/abbreviations,OK
National Intermodal Corporation Limited,"Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-intermodal-corporation-limited/national-intermodal-annual-report-2024/6.-reporting-index/glossary-and-abbreviations,OK
National Intermodal Corporation Limited,"Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url2,nan,Error: Message: invalid argument
National Library of Australia,Communications and the Arts,glossary_url1,https://www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices,OK
National Library of Australia,Communications and the Arts,glossary_url2,https://www.transparency.gov.au/publications/communications-and-the-arts/national-library-of-australia/national-library-of-australia-annual-report-2023-24/glossary-and-indices/compliance-index,OK
National Mental Health Commission,Health,glossary_url1,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/glossary,OK
National Mental Health Commission,Health,glossary_url2,https://www.transparency.gov.au/publications/health/national-mental-health-commission/national-mental-health-commission-annual-report-2023-24/navigation-aids/acronyms,OK
National Museum of Australia,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
National Museum of Australia,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA),"Industry, Innovation and Science",glossary_url1,https://www.transparency.gov.au/publications/industry-innovation-and-science/national-offshore-petroleum-safety-and-environmental-management-authority-nopsema/national-offshore-petroleum-safety-and-environmental-management-authority-annual-report-2023-24/part-4%3A-annual-performance-statements/glossary-of-acronyms-and-abbreviations,OK
National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA),"Industry, Innovation and Science",glossary_url2,nan,Error: Message: invalid argument
National Portrait Gallery of Australia,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
National Portrait Gallery of Australia,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
National Reconstruction Fund Corporation,"Industry, Science and Resources",glossary_url1,nan,Error: Message: invalid argument
National Reconstruction Fund Corporation,"Industry, Science and Resources",glossary_url2,nan,Error: Message: invalid argument
National Transport Commission,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-transport-commission/national-transport-commission-annual-report-2023-24/appendices/appendix-e%3A-glossary-and-acronyms,OK
National Transport Commission,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Northern Australia Infrastructure Facility,"Industry, Innovation and Science",glossary_url1,https://www.transparency.gov.au/publications/industry-innovation-and-science/northern-australia-infrastructure-facility/northern-australia-infrastructure-facility-annual-report-2023-2024/abbreviations-and-acronyms,OK
Northern Australia Infrastructure Facility,"Industry, Innovation and Science",glossary_url2,nan,Error: Message: invalid argument
Northern Land Council,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/northern-land-council/northern-land-council-annual-report-2023-24/part-5---appendices/glossary,OK
Northern Land Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Northern Territory Aboriginal Investment Corporation,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
Northern Territory Aboriginal Investment Corporation,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Office of Parliamentary Counsel,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/office-of-parliamentary-counsel/office-of-parliamentary-counsel-annual-report-2023-24/glossary,OK
Office of Parliamentary Counsel,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Office of the Auditing and Assurance Standards Board (AUASB),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/office-of-the-auditing-and-assurance-standards-board-auasb/office-of-the-auditing-and-assurance-standards-board-annual-report-2023-24/abbreviations,OK
Office of the Auditing and Assurance Standards Board (AUASB),Treasury,glossary_url2,nan,Error: Message: invalid argument
Office of the Australian Accounting Standards Board (AASB),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/office-of-the-australian-accounting-standards-board-aasb/office-of-the-australian-accounting-standards-board-annual-report-2023-24/abbreviations,OK
Office of the Australian Accounting Standards Board (AASB),Treasury,glossary_url2,nan,Error: Message: invalid argument
Office of the Australian Information Commissioner,Attorney-General's,glossary_url1,nan,Error: Message: invalid argument
Office of the Australian Information Commissioner,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Office of the Commonwealth Ombudsman,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/glossary,OK
Office of the Commonwealth Ombudsman,Attorney-General's,glossary_url2,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-commonwealth-ombudsman/office-of-the-commonwealth-ombudsman-annual-report-2023-24/part-8%3A-references/acronyms%2C-initialisms-and-abbreviations,Not Found
Office of the Director of Public Prosecutions (CDPP),Attorney-General's,glossary_url1,nan,Error: Message: invalid argument
Office of the Director of Public Prosecutions (CDPP),Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Office of the Fair Work Ombudsman,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/glossary,OK
Office of the Fair Work Ombudsman,Attorney-General's,glossary_url2,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-fair-work-ombudsman/office-of-the-fair-work-ombudsman-2023-24-annual-report/part-5---reference-material/abbreviations-and-acronyms,OK
Office of the Inspector-General of Aged Care,Health and Aged Care,glossary_url1,https://www.transparency.gov.au/publications/health-and-aged-care/office-of-the-inspector-general-of-aged-care/office-of-the-inspector-general-of-aged-care-annual-report-2023-24/appendix-4%3A-glossary,OK
Office of the Inspector-General of Aged Care,Health and Aged Care,glossary_url2,nan,Error: Message: invalid argument
Office of the Inspector-General of Intelligence and Security,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-inspector-general-of-intelligence-and-security/office-of-the-inspector-general-of-intelligence-and-security-annual-report-2023-24/preliminaries/glossary,OK
Office of the Inspector-General of Intelligence and Security,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Office of the Official Secretary to the Governor-General,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/office-of-the-official-secretary-to-the-governor-general/office-of-the-official-secretary-to-the-governor-general-annual-report-2023-24/glossary%2C-abbreviations-and-acronyms,OK
Office of the Official Secretary to the Governor-General,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Office of the Special Investigator,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/office-of-the-special-investigator/office-of-the-special-investigator-annual-report-2023-24/part-7-reference-material-/glossary-of-abbreviations-and-acronyms,OK
Office of the Special Investigator,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Old Parliament House,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Old Parliament House,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Health,glossary_url1,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-5%3A-glossary,OK
Organ and Tissue Authority (Australian Organ and Tissue Donation and Transplantation Authority),Health,glossary_url2,https://www.transparency.gov.au/publications/health/organ-and-tissue-authority-australian-organ-and-tissue-donation-and-transplantation-authority/australian-organ-and-tissue-donation-and-transplantation-authority-annual-report-2023-24/part-5-%2F-appendices/appendix-4%3A-abbreviations,OK
Outback Stores Pty Ltd,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
Outback Stores Pty Ltd,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Parliamentary Budget Office,Parliamentary Departments (not a portfolio),glossary_url1,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/glossary,OK
Parliamentary Budget Office,Parliamentary Departments (not a portfolio),glossary_url2,https://www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/parliamentary-budget-office/parliamentary-budget-office-annual-report-2023-24/references/abbreviations-and-acronyms,OK
Parliamentary Workplace Support Service,Finance,glossary_url1,https://www.transparency.gov.au/publications/finance/parliamentary-workplace-support-service/parliamentary-workplace-support-service-annual-report-2023-24/part-5.-appendices/appendix-g--abbreviations-and-acronyms,OK
Parliamentary Workplace Support Service,Finance,glossary_url2,nan,Error: Message: invalid argument
Productivity Commission,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/productivity-commission/annual-report-2023-24/abbreviations,OK
Productivity Commission,Treasury,glossary_url2,nan,Error: Message: invalid argument
Professional Services Review,Health,glossary_url1,nan,Error: Message: invalid argument
Professional Services Review,Health,glossary_url2,nan,Error: Message: invalid argument
RAAF Welfare Recreational Company,Defence,glossary_url1,nan,Error: Message: invalid argument
RAAF Welfare Recreational Company,Defence,glossary_url2,nan,Error: Message: invalid argument
Regional Investment Corporation,Agriculture,glossary_url1,nan,Error: Message: invalid argument
Regional Investment Corporation,Agriculture,glossary_url2,nan,Error: Message: invalid argument
Reserve Bank of Australia,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/reserve-bank-of-australia/reserve-bank-of-australia-annual-report-2023-24/part-5%3A-indexes/5.5-abbreviations,OK
Reserve Bank of Australia,Treasury,glossary_url2,nan,Error: Message: invalid argument
Royal Australian Air Force Veterans' Residences Trust Fund,Defence,glossary_url1,nan,Error: Message: invalid argument
Royal Australian Air Force Veterans' Residences Trust Fund,Defence,glossary_url2,nan,Error: Message: invalid argument
Royal Australian Air Force Welfare Trust Fund,Defence,glossary_url1,nan,Error: Message: invalid argument
Royal Australian Air Force Welfare Trust Fund,Defence,glossary_url2,nan,Error: Message: invalid argument
Royal Australian Mint,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/glossary,OK
Royal Australian Mint,Treasury,glossary_url2,https://www.transparency.gov.au/publications/treasury/royal-australian-mint/annual-report-royal-australian-mint-2023-2024/09-indices/abbreviations-and-acronyms,OK
Royal Australian Navy Relief Trust Fund,Defence,glossary_url1,nan,Error: Message: invalid argument
Royal Australian Navy Relief Trust Fund,Defence,glossary_url2,nan,Error: Message: invalid argument
Rural Industries Research and Development Corporation,Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/rural-industries-research-and-development-corporation/agrifutures-australia-annual-report-2023-2024/appendices/appendix-4%3A-glossary,OK
Rural Industries Research and Development Corporation,Agriculture,glossary_url2,nan,Error: Message: invalid argument
Safe Work Australia,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/glossary-of-terms,OK
Safe Work Australia,Attorney-General's,glossary_url2,https://www.transparency.gov.au/publications/attorney-general-s/safe-work-australia/safe-work-australia-annual-report-2023-24/part-8-%E2%80%93-references/acronyms-and-abbreviations,OK
Screen Australia,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Screen Australia,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority)",Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/seafarers-safety-rehabilitation-and-compensation-authority-seacare-authority/seafarers-safety-rehabilitation-and-compensation-authority-annual-report-2023-24/glossary/glossary,OK
"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority)",Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Services Australia,Services Australia,glossary_url1,https://www.transparency.gov.au/publications/services-australia/services-australia/services-australia-annual-report-2023-24/part-11%3A-appendices/appendix-e---glossary-of-abbreviations-and-acronyms,OK
Services Australia,Services Australia,glossary_url2,nan,Error: Message: invalid argument
Snowy Hydro Limited,"Climate Change, Energy, the Environment and Water",glossary_url1,nan,Error: Message: invalid argument
Snowy Hydro Limited,"Climate Change, Energy, the Environment and Water",glossary_url2,nan,Error: Message: invalid argument
Special Broadcasting Service Corporation,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Special Broadcasting Service Corporation,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Sport Integrity Australia,Health,glossary_url1,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/glossary,OK
Sport Integrity Australia,Health,glossary_url2,https://www.transparency.gov.au/publications/health/sport-integrity-australia/sport-integrity-australia-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations,OK
Sydney Harbour Federation Trust,"Agriculture, Water and the Environment",glossary_url1,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/sydney-harbour-federation-trust/sydney-harbour-federation-trust-annual-report-2023-24/abbreviations-and-acronyms,OK
Sydney Harbour Federation Trust,"Agriculture, Water and the Environment",glossary_url2,nan,Error: Message: invalid argument
Tertiary Education Quality and Standards Agency,Education,glossary_url1,https://www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions,OK
Tertiary Education Quality and Standards Agency,Education,glossary_url2,nan,Error: Message: invalid argument
Tiwi Land Council,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-,OK
Tiwi Land Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Torres Strait Regional Authority,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations,OK
Torres Strait Regional Authority,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Tourism Australia,Foreign Affairs and Trade,glossary_url1,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary,OK
Tourism Australia,Foreign Affairs and Trade,glossary_url2,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms,OK
WSA Co Ltd,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,OK
WSA Co Ltd,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,OK
Wine Australia,Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary,OK
Wine Australia,Agriculture,glossary_url2,nan,Error: Message: invalid argument
Workplace Gender Equality Agency,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms,OK
Workplace Gender Equality Agency,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
